,Shape,Carat Weight,Color,Clarity,Cut,Certification,Depth %,Table %,Polish,Symmetry,Cut Grade,Measurements,Length to Width,Girdle,Culet,Fluorescence,Stock Number,Price
13569,Round,1.90 ct.,J,SI2,Excellent,GIA,60.8 %,62 %,Very Good,Excellent,Excellent,7.98x7.95x4.84 mm,1.00,n/a,n/a,None,D113576842,"$10,911"
13570,Round,1.71 ct.,I,SI2,Super Ideal,GIA,62.5 %,56 %,Excellent,Excellent,Excellent,7.59x7.64x4.76 mm,1.01,Medium - Sl. Thick,None,None,D113849433,"$10,916"
13571,Round,1.52 ct.,E,SI1,Super Ideal,GIA,62.3 %,59 %,Excellent,Excellent,Excellent,7.35x7.3x4.57 mm,1.01,Sl. Thick,None,Medium,D113230583,"$10,917"
13572,Round,1.20 ct.,D,VS2,Super Ideal,GIA,61.7 %,57 %,Excellent,Excellent,Excellent,6.79x6.82x4.2 mm,1.00,Medium - Sl. Thick,None,None,D113708911,"$10,917"
13573,Round,1.53 ct.,F,SI1,Super Ideal,GIA,59.6 %,59 %,Excellent,Excellent,Excellent,7.55x7.5x4.49 mm,1.01,n/a,n/a,Faint,D113391185,"$10,920"
13574,Round,1.50 ct.,G,VS2,Excellent,GIA,64.5 %,55 %,Excellent,Excellent,Very Good,7.14x7.09x4.59 mm,1.01,Thick,None,None,D111137035,"$10,928"
13575,Round,1.80 ct.,D,SI2,Super Ideal,GIA,62.9 %,58 %,Excellent,Excellent,Excellent,7.68 x 7.71 x 4.84 mm,1.00,n/a,None,Strong,D112368909,"$10,933"
13576,Round,1.00 ct.,D,VVS2,Super Ideal,GIA,61.3 %,59 %,Excellent,Excellent,Excellent,6.38 x 6.41 x 3.92 mm,1.00,n/a,None,None,D113684748,"$10,936"
13577,Round,1.50 ct.,H,VS1,Super Ideal,GIA,62.7 %,57 %,Excellent,Excellent,Excellent,7.26 x 7.31 x 4.57 mm,1.01,n/a,None,Strong,D113661706,"$10,937"
13578,Round,1.01 ct.,D,IF,Super Ideal,GIA,59.7 %,59 %,Excellent,Excellent,Excellent,6.54x6.52x3.90 mm,1.00,n/a,None,Strong,D113252723,"$10,950"
13579,Round,1.50 ct.,H,SI1,Super Ideal,GIA,60.9 %,59 %,Excellent,Excellent,Excellent,7.38 x 7.40 x 4.50 mm,1.00,n/a,None,None,D113839027,"$10,961"
13580,Round,1.60 ct.,H,SI1,Super Ideal,GIA,62.6 %,57 %,Excellent,Excellent,Excellent,7.40 x 7.43 x 4.65 mm,1.00,n/a,None,None,D113690698,"$10,963"
13581,Round,1.00 ct.,E,VVS1,Ideal,GIA,61.3 %,61 %,Excellent,Excellent,Excellent,6.44x6.41x3.94 mm,1.00,n/a,None,None,D113620084,"$10,964"
