Carat Weight,Color,Clarity,Cut,Depth %,Table %,Polish,Symmetry,Cut Grade,Length to Width,Culet,Fluorescence,Price
0.3,3,6,3,63.7,57.0,1,2,2,1.01,0,2,646
0.3,6,4,1,62.0,58.0,1,1,1,1.01,1,1,646
0.43,6,7,5,58.7,64.0,2,2,3,1.01,1,1,646
0.3,3,7,1,60.7,56.0,1,2,1,1.01,1,0,646
0.31,6,4,1,61.1,56.0,1,1,1,1.0,1,0,646
0.3,5,5,1,62.4,59.0,1,2,1,1.01,1,2,646
0.36,4,8,1,61.9,59.0,1,1,1,1.0,1,1,647
0.3,1,7,1,61.7,57.0,1,1,1,1.0,1,1,647
0.34,1,8,2,59.3,59.0,2,1,2,1.0,1,2,647
0.3,3,6,3,64.0,56.0,1,3,2,1.01,1,0,647
0.3,3,6,3,64.0,56.0,1,3,2,1.01,1,0,647
0.41,7,7,1,62.7,57.0,1,1,1,1.0,1,1,647
0.3,1,7,1,61.7,57.0,1,1,1,1.0,1,1,647
0.3,3,7,3,63.3,57.0,2,2,2,1.01,1,0,647
0.41,7,7,1,62.7,57.0,1,1,1,1.0,1,1,647
0.3,2,7,1,60.6,59.0,1,1,1,1.01,0,0,649
0.3,2,7,1,60.6,59.0,1,1,1,1.01,0,0,649
0.34,2,7,1,62.2,58.0,1,1,1,1.01,1,0,649
0.29,3,5,5,68.6,59.0,2,3,4,1.0,1,0,649
0.31,4,6,1,62.0,55.0,1,1,1,1.0,0,2,649
0.31,4,6,1,62.0,55.0,1,1,1,1.0,0,2,649
0.32,4,4,1,62.0,56.0,1,1,1,1.0,1,1,650
0.26,1,4,1,62.5,57.0,1,1,1,1.01,1,2,650
0.3,3,3,2,59.5,60.0,1,2,1,1.01,1,2,650
0.4,7,7,3,63.4,57.0,2,2,2,1.0,1,1,650
0.4,7,8,1,62.3,58.0,1,1,1,1.0,0,0,650
0.31,2,5,2,60.4,61.0,1,1,1,1.0,1,1,650
0.32,4,6,1,62.3,59.0,1,1,1,1.0,1,0,650
0.33,6,3,1,62.1,58.0,1,1,1,1.01,1,0,650
0.3,1,5,1,62.6,58.0,1,1,1,1.0,1,1,650
0.3,3,5,3,64.5,56.0,1,2,2,1.01,0,0,650
0.3,7,2,1,59.6,60.0,1,1,1,1.01,0,0,650
0.31,2,6,1,62.1,58.0,1,1,1,1.0,1,1,650
0.3,1,6,3,63.8,57.0,2,2,2,1.01,0,0,650
0.3,7,2,1,59.6,60.0,1,1,1,1.01,0,0,650
