,Shape,Price,Carat,Color,Clarity,Polish,Symmetry,Fluorescence,Depth,Table,L/W,Price/Ct,Culet,Stock No.,Delivery Date,Cut
1767,Princess,$972,0.47,D,VS1,Excellent,Very Good,None,74.6,68.0,1.00,"$2,068",None,LD14722055,Apr 27,Very Good
1768,Princess,$976,0.63,K,VS2,Excellent,Excellent,None,73.5,64.0,1.01,"$1,549",None,LD13606809,Apr 27,Very Good
1769,Radiant,$980,0.60,H,VS1,Excellent,Good,Medium Blue,67.5,69.0,1.05,"$1,633",None,LD09213184,Apr 27,Very Good
1770,Cushion,$982,0.50,E,VS1,Very Good,Very Good,Strong,62.0,61.0,1.08,"$1,964",None,LD14764040,Apr 27,Very Good
1771,Cushion,$982,0.45,D,VVS1,Excellent,Good,None,65.8,66.0,1.09,"$2,182",None,LD15044239,Apr 27,Very Good
1772,Radiant,$989,0.51,E,VVS1,Excellent,Good,None,75.0,65.0,1.02,"$1,939",None,LD15322703,Apr 27,Good
1773,Radiant,$989,0.51,G,VVS1,Excellent,Very Good,None,70.0,68.0,1.00,"$1,939",None,LD15322877,Apr 27,Very Good
1774,Princess,$989,0.50,E,VS2,Excellent,Very Good,None,76.3,66.0,1.04,"$1,978",None,LD15329521,Apr 27,Good
1775,Princess,$989,0.50,E,VS2,Excellent,Very Good,None,76.0,74.0,1.03,"$1,978",None,LD15665762,Apr 27,Good
1776,Cushion,$990,0.50,D,VS1,Excellent,Very Good,Strong,69.9,65.0,1.18,"$1,980",None,LD15058632,Apr 27,Good
1777,Cushion,$992,0.52,G,VS1,Excellent,Very Good,Faint,68.8,59.0,1.02,"$1,908",None,LD15058806,Apr 27,Very Good
1778,Princess,$994,0.48,D,VS1,Very Good,Good,None,71.4,73.0,1.02,"$2,071",None,LD14006026,Apr 27,Very Good
1779,Cushion,$901,0.51,E,SI1,Excellent,Excellent,Medium,67.9,61.0,1.03,"$1,767",None,LD15185127,Apr 28,Very Good
1780,Cushion,$904,0.60,J,VVS1,Excellent,Very Good,Medium,69.6,63.0,1.00,"$1,507",None,LD15577149,Apr 28,Good
1781,Cushion,$911,0.50,F,SI1,Excellent,Very Good,None,66.7,64.0,1.04,"$1,822",None,LD15475622,Apr 28,Very Good
1782,Princess,$913,0.59,K,VVS1,Very Good,Very Good,None,70.1,72.0,1.05,"$1,547",None,LD13627621,Apr 28,Very Good
1783,Cushion,$916,0.51,G,SI1,Excellent,Very Good,None,66.1,63.0,1.01,"$1,796",None,LD15455258,Apr 28,Very Good
1784,Radiant,$929,0.52,E,SI2,Excellent,Very Good,None,63.9,67.0,1.33,"$1,787",None,LD14567658,Apr 28,Very Good
1785,Cushion,$930,0.50,G,VS1,Excellent,Very Good,Strong,69.3,63.0,1.00,"$1,860",None,LD15410204,Apr 28,Very Good
1786,Cushion,$945,0.50,H,VVS2,Excellent,Very Good,Faint,67.3,66.0,1.02,"$1,890",None,LD15410203,Apr 28,Very Good
1787,Cushion,$953,0.50,E,SI1,Very Good,Very Good,None,73.4,57.0,1.07,"$1,906",None,LD15184960,Apr 28,Good
1788,Radiant,$960,0.61,F,SI2,Very Good,Very Good,None,72.0,71.0,1.26,"$1,574",None,LD15184207,Apr 28,Very Good
1789,Cushion,$968,0.50,E,SI1,Excellent,Very Good,None,66.0,64.0,1.01,"$1,936",None,LD15291395,Apr 28,Very Good
